sample_id,building_count,building_area_m2,coverage_fraction,total_ee_mj,total_ec_kgco2e,avg_eei_mj_m2,avg_eci_kgco2e_m2
2437,5,1769.1582523221268,0.0006830758200247542,8845791.261610635,530747.475696638,5000.0,299.99999999999994
2438,0,0.0,0.0,0.0,0.0,0.0,0.0
2439,0,0.0,0.0,0.0,0.0,0.0,0.0
2440,0,0.0,0.0,0.0,0.0,0.0,0.0
2441,0,0.0,0.0,0.0,0.0,0.0,0.0
2442,0,0.0,0.0,0.0,0.0,0.0,0.0
2443,0,0.0,0.0,0.0,0.0,0.0,0.0
2444,196,36354.49969754001,0.014036550805950893,181772498.48769996,7545892.649829725,4999.999999999997,207.56420010203936
2445,0,0.0,0.0,0.0,0.0,0.0,0.0
2446,0,0.0,0.0,0.0,0.0,0.0,0.0
2447,0,0.0,0.0,0.0,0.0,0.0,0.0
2448,0,0.0,0.0,0.0,0.0,0.0,0.0
2449,0,0.0,0.0,0.0,0.0,0.0,0.0
2450,69,21423.64945694763,0.008271717299184177,107118247.2847381,5969063.208729192,4999.999999999997,278.6202799259041
2451,0,0.0,0.0,0.0,0.0,0.0,0.0
2452,1,86.37425682276029,3.3349287001767325e-05,431871.28411380143,25912.277046828087,5000.0,300.0
2453,0,0.0,0.0,0.0,0.0,0.0,0.0
2454,25,6259.385801241545,0.0024167623690092973,31296929.006207716,1342389.4644810285,4999.999999999998,214.4602533070843
2455,0,0.0,0.0,0.0,0.0,0.0,0.0
2456,0,0.0,0.0,0.0,0.0,0.0,0.0
2457,0,0.0,0.0,0.0,0.0,0.0,0.0
2458,0,0.0,0.0,0.0,0.0,0.0,0.0
2459,0,0.0,0.0,0.0,0.0,0.0,0.0
2460,0,0.0,0.0,0.0,0.0,0.0,0.0
2461,0,0.0,0.0,0.0,0.0,0.0,0.0
2462,0,0.0,0.0,0.0,0.0,0.0,0.0
2463,28,5584.016394687453,0.0021560007833252314,28310657.410359036,1563178.6580714418,5069.945252541407,279.9380495298377
2464,0,0.0,0.0,0.0,0.0,0.0,0.0
2465,0,0.0,0.0,0.0,0.0,0.0,0.0
2466,0,0.0,0.0,0.0,0.0,0.0,0.0
2467,11,2226.4097162394623,0.0008596215972399308,11132048.581197314,667922.9148718386,5000.000000000001,300.0
2468,0,0.0,0.0,0.0,0.0,0.0,0.0
2469,23,5297.278370736442,0.002045290613341551,26486391.85368222,1135745.1334529638,5000.000000000002,214.4016330588021
2470,73,11530.90385820829,0.004452106869599638,57654519.29104143,3004776.450607158,4999.999999999998,260.5846417207098
2471,0,0.0,0.0,0.0,0.0,0.0,0.0
2472,20,6274.2476930063385,0.0024225005774997084,31371238.46503169,1849045.5555440611,5000.0,294.70394635601025
2473,0,0.0,0.0,0.0,0.0,0.0,0.0
2474,0,0.0,0.0,0.0,0.0,0.0,0.0
2475,0,0.0,0.0,0.0,0.0,0.0,0.0
2476,0,0.0,0.0,0.0,0.0,0.0,0.0
2477,0,0.0,0.0,0.0,0.0,0.0,0.0
2478,0,0.0,0.0,0.0,0.0,0.0,0.0
2479,0,0.0,0.0,0.0,0.0,0.0,0.0
2480,0,0.0,0.0,0.0,0.0,0.0,0.0
